R1,R2,SampleId
FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L002_R1_001.fastq.gz,FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L002_R2_001.fastq.gz,1
FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L001_R1_001.fastq.gz,FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L001_R2_001.fastq.gz,1
FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L004_R1_001.fastq.gz,FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L004_R2_001.fastq.gz,1
FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L003_R1_001.fastq.gz,FCA1_MaleFemale_head_adult_5dWT_Luo_sample1/FCA_Head_S1_L003_R2_001.fastq.gz,1
FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L003_R1_001.fastq.gz,FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L003_R2_001.fastq.gz,2
FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L004_R1_001.fastq.gz,FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L004_R2_001.fastq.gz,2
FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L002_R1_001.fastq.gz,FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L002_R2_001.fastq.gz,2
FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L001_R1_001.fastq.gz,FCA2_MaleFemale_body_adult_5dWT_Luo_sample1/FCA_Body_S2_L001_R2_001.fastq.gz,2
FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L001_R1_001.fastq.gz,FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L001_R2_001.fastq.gz,3
FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L004_R1_001.fastq.gz,FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L004_R2_001.fastq.gz,3
FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L003_R1_001.fastq.gz,FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L003_R2_001.fastq.gz,3
FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L002_R1_001.fastq.gz,FCA3_MaleFemale_antenna_adult_5dWT_Luo_sample1/FCA_Ant_S1_L002_R2_001.fastq.gz,3
FCA4_Male_Adult_Head1/FCA_Male_Adult_Head1_S1_L001_R1_001.fastq.gz,FCA4_Male_Adult_Head1/FCA_Male_Adult_Head1_S1_L001_R2_001.fastq.gz,4
FCA5_Male_Adult_Head2/FCA_Male_Adult_Head2_S2_L001_R1_001.fastq.gz,FCA5_Male_Adult_Head2/FCA_Male_Adult_Head2_S2_L001_R2_001.fastq.gz,5
FCA6_Male_Adult_Head3/FCA_Male_Adult_Head3_S3_L001_R1_001.fastq.gz,FCA6_Male_Adult_Head3/FCA_Male_Adult_Head3_S3_L001_R2_001.fastq.gz,6
FCA7_Female_Adult_Head1/FCA_Female_Adult_Head1_S4_L001_R1_001.fastq.gz,FCA7_Female_Adult_Head1/FCA_Female_Adult_Head1_S4_L001_R2_001.fastq.gz,7
FCA8_Female_Adult_Head2/FCA_Female_Adult_Head2_S5_L001_R1_001.fastq.gz,FCA8_Female_Adult_Head2/FCA_Female_Adult_Head2_S5_L001_R2_001.fastq.gz,8
FCA9_Female_Adult_Head3/FCA_Female_Adult_Head3_S6_L001_R1_001.fastq.gz,FCA9_Female_Adult_Head3/FCA_Female_Adult_Head3_S6_L001_R2_001.fastq.gz,9
